city,latitude,longitude,attacks
Antarctica,-68.87874,-70.253252,10
Antarctica,-69.251017,-69.724447,10
Antarctica,-69.623346,-69.489422,10
Antarctica,-70.074016,-69.058518,10
Antarctica,-70.505153,-68.725541,10
Antarctica,-70.955823,-68.451346,10
Antarctica,-64.152467,-58.614143,10
Antarctica,-64.36801,-59.045073,10
Antarctica,-64.211223,-59.789342,10
Antarctica,-64.309202,-60.611928,10
Antarctica,-64.54433,-61.297416,10
Antarctica,-64.799094,-62.0221,10
Antarctica,-65.09303,-62.51176,10
Antarctica,-65.484942,-62.648858,10
Antarctica,-65.857219,-62.590128,10
Antarctica,-66.190326,-62.120079,10
Antarctica,-66.425505,-62.805567,10
Antarctica,-66.503847,-63.74569,10
Antarctica,-66.837004,-64.294106,10
Antarctica,-67.150474,-64.881693,10
Antarctica,-67.58161,-65.508425,10
Antarctica,-67.953887,-65.665082,10
Antarctica,-68.365335,-65.312545,10
Antarctica,-68.678908,-64.783715,10
Antarctica,-68.913984,-63.961103,10
Antarctica,-69.227556,-63.1973,10
Antarctica,-69.619419,-62.785955,10
Antarctica,-69.991747,-62.570516,10
Antarctica,-70.383661,-62.276736,10
Antarctica,-70.716768,-61.806661,10
Antarctica,-71.089045,-61.512906,10
Antarctica,-72.010074,-61.375809,10
Antarctica,-72.382351,-61.081977,10
Antarctica,-72.774265,-61.003661,10
Antarctica,-73.166179,-60.690269,10
Antarctica,-73.695242,-60.827367,10
Antarctica,-74.106742,-61.375809,10
Antarctica,-74.439848,-61.96337,10
Antarctica,-74.576997,-63.295201,10
Antarctica,-74.92974,-63.74569,10
Antarctica,-75.262847,-64.352836,10
Antarctica,-75.635124,-65.860987,10
Antarctica,-75.79191,-67.192818,10
Antarctica,-76.007452,-68.446282,10
Antarctica,-76.222995,-69.797724,10
Antarctica,-76.634494,-70.600724,10
Antarctica,-76.673665,-72.206776,10
Antarctica,-76.634494,-73.969536,10
Antarctica,-76.712887,-75.555977,10
Antarctica,-76.712887,-77.24037,10
Antarctica,-77.104802,-76.926979,10
Antarctica,-77.28107,-75.399294,10
Antarctica,-77.55542,-74.282876,10
Antarctica,-77.908112,-73.656119,10
Antarctica,-78.221633,-74.772536,10
Antarctica,-78.123654,-76.4961,10
Antarctica,-78.378419,-77.925858,10
Antarctica,-78.789918,-77.984666,10
Antarctica,-79.181833,-78.023785,10
Antarctica,-79.514939,-76.848637,10
Antarctica,-79.887216,-76.633224,10
Antarctica,-80.259545,-75.360097,10
Antarctica,-80.416331,-73.244852,10
Antarctica,-80.69063,-71.442946,10
Antarctica,-81.004151,-70.013163,10
Antarctica,-81.317672,-68.191646,10
Antarctica,-81.474458,-65.704279,10
Antarctica,-81.748757,-63.25603,10
Antarctica,-82.042692,-61.552026,10
Antarctica,-82.37585,-59.691416,10
Antarctica,-82.846106,-58.712121,10
Antarctica,-83.218434,-58.222487,10
Antarctica,-82.865691,-57.008117,10
Antarctica,-82.571755,-55.362894,10
Antarctica,-82.258235,-53.619771,10
Antarctica,-82.003521,-51.543644,10
Antarctica,-81.729171,-49.76135,10
Antarctica,-81.709586,-47.273931,10
Antarctica,-81.846735,-44.825708,10
Antarctica,-82.081915,-42.808363,10
Antarctica,-81.65083,-42.16202,10
Antarctica,-81.356894,-40.771433,10
Antarctica,-81.337309,-38.244818,10
Antarctica,-81.121715,-36.26667,10
Antarctica,-80.906172,-34.386397,10
Antarctica,-80.769023,-32.310296,10
Antarctica,-80.592651,-30.097098,10
Antarctica,-80.337938,-28.549802,10
Antarctica,-79.985195,-29.254901,10
Antarctica,-79.632503,-29.685805,10
Antarctica,-79.260226,-29.685805,10
Antarctica,-79.299397,-31.624808,10
Antarctica,-79.456132,-33.681324,10
Antarctica,-79.456132,-35.639912,10
Antarctica,-79.083855,-35.914107,10
Antarctica,-78.339248,-35.77701,10
Antarctica,-78.123654,-35.326546,10
Antarctica,-77.888526,-33.896763,10
Antarctica,-77.65345,-32.212369,10
Antarctica,-77.359515,-30.998051,10
Antarctica,-77.065579,-29.783732,10
Antarctica,-76.673665,-28.882779,10
Antarctica,-76.497345,-27.511752,10
Antarctica,-76.360144,-26.160336,10
Antarctica,-76.281803,-25.474822,10
Antarctica,-76.24258,-23.927552,10
Antarctica,-76.105431,-22.458598,10
Antarctica,-75.909474,-21.224694,10
Antarctica,-75.674346,-20.010375,10
Antarctica,-75.439218,-18.913543,10
Antarctica,-75.125698,-17.522982,10
Antarctica,-74.79254,-16.641589,10
Antarctica,-74.498604,-15.701491,10
Antarctica,-74.106742,-15.40771,10
Antarctica,-73.871614,-16.46532,10
Antarctica,-73.460114,-16.112784,10
Antarctica,-73.146542,-15.446855,10
Antarctica,-72.950585,-14.408805,10
Antarctica,-72.715457,-13.311973,10
Antarctica,-72.401936,-12.293508,10
